ws_diff,ws_diff_bin,steps_diff
-75.0,"(-80, -48]",-3048.838167984002
-74.0,"(-80, -48]",-1097.0248065562537
-69.0,"(-80, -48]",-987.590909090909
-66.0,"(-80, -48]",505.463768115942
-61.0,"(-80, -48]",5361.8
-60.0,"(-80, -48]",4619.444444444444
-58.0,"(-80, -48]",548.6858974358976
-57.0,"(-80, -48]",-10952.605263157895
-57.0,"(-80, -48]",-970.5555555555555
-57.0,"(-80, -48]",-174.78119757561763
-57.0,"(-80, -48]",880.625
-56.0,"(-80, -48]",-5520.264347826086
-54.0,"(-80, -48]",-1558.7675577793002
-54.0,"(-80, -48]",-159.82244835870893
-54.0,"(-80, -48]",4699.777777777777
-53.0,"(-80, -48]",-909.2892307692308
-52.0,"(-80, -48]",5993.76
-52.0,"(-80, -48]",2965.758333333333
-52.0,"(-80, -48]",-573.0
-52.0,"(-80, -48]",-1013.0
-51.0,"(-80, -48]",-22.149999999999643
-50.0,"(-80, -48]",354.54515050167174
-50.0,"(-80, -48]",2908.5
-49.0,"(-80, -48]",-4217.317506256585
-48.0,"(-80, -48]",-247.4285714285716
-48.0,"(-80, -48]",-5833.179842987121
-47.0,"(-48, -16]",348.77228545699967
-47.0,"(-48, -16]",159.2578689120387
-46.0,"(-48, -16]",-4840.357142857143
-46.0,"(-48, -16]",-3337.560606060607
-46.0,"(-48, -16]",-2082.636363636364
-46.0,"(-48, -16]",-4647.423245614035
-46.0,"(-48, -16]",449.40000000000015
-46.0,"(-48, -16]",2780.81221719457
-45.0,"(-48, -16]",-2702.412173913044
-45.0,"(-48, -16]",824.0826121315476
-45.0,"(-48, -16]",3219.5
-45.0,"(-48, -16]",1117.8421052631577
-44.0,"(-48, -16]",-2643.206973560589
-44.0,"(-48, -16]",420.5
-44.0,"(-48, -16]",617.5
-43.0,"(-48, -16]",744.9107142857147
-43.0,"(-48, -16]",-3830.308537945713
-43.0,"(-48, -16]",-1542.3571428571433
-43.0,"(-48, -16]",984.3273809523816
-43.0,"(-48, -16]",-1785.2694194907392
-43.0,"(-48, -16]",878.0927415185861
-43.0,"(-48, -16]",-805.7238095238098
-42.0,"(-48, -16]",3898.313725490196
-42.0,"(-48, -16]",4892.076923076924
-42.0,"(-48, -16]",-3546.8418574060747
-42.0,"(-48, -16]",-3603.5
-42.0,"(-48, -16]",-4437.953716771937
-42.0,"(-48, -16]",-2285.5333333333333
-42.0,"(-48, -16]",416.4953846153849
-41.0,"(-48, -16]",-2097.817318427884
-41.0,"(-48, -16]",-1089.2415384615397
-41.0,"(-48, -16]",-1378.79
-41.0,"(-48, -16]",930.5369230769228
-41.0,"(-48, -16]",-1514.811594202898
-40.0,"(-48, -16]",-1228.0
-40.0,"(-48, -16]",2148.2914487151584
-40.0,"(-48, -16]",-500.6020491571094
-39.0,"(-48, -16]",-678.8407717857554
-39.0,"(-48, -16]",-1576.50700280112
-39.0,"(-48, -16]",-2129.7993311036803
-39.0,"(-48, -16]",423.6570512820512
-39.0,"(-48, -16]",2041.2634271099741
-38.0,"(-48, -16]",2181.4710500710003
-38.0,"(-48, -16]",-2618.75
-38.0,"(-48, -16]",34.74434782608705
-38.0,"(-48, -16]",-4519.381050748769
-38.0,"(-48, -16]",792.704710144928
-38.0,"(-48, -16]",1754.75
-38.0,"(-48, -16]",-1981.0
-38.0,"(-48, -16]",579.7272727272725
-37.0,"(-48, -16]",-482.06547619047615
-37.0,"(-48, -16]",22157.66666666667
-37.0,"(-48, -16]",-2327.692307692308
-37.0,"(-48, -16]",1123.0061538461541
-37.0,"(-48, -16]",-997.6257232673497
-36.0,"(-48, -16]",29.324500867989173
-36.0,"(-48, -16]",-1147.0213903743318
-36.0,"(-48, -16]",1595.3529411764707
-36.0,"(-48, -16]",-5052.611940656332
-36.0,"(-48, -16]",1708.315019835762
-36.0,"(-48, -16]",-2375.253205128205
-35.0,"(-48, -16]",366.23999999999984
-35.0,"(-48, -16]",3169.0
-35.0,"(-48, -16]",-4487.75
-35.0,"(-48, -16]",281.37538461538503
-35.0,"(-48, -16]",1957.7
-35.0,"(-48, -16]",371.5
-35.0,"(-48, -16]",-699.9230769230771
-35.0,"(-48, -16]",705.7727272727275
-35.0,"(-48, -16]",384.0
-35.0,"(-48, -16]",402.051428571428
-34.0,"(-48, -16]",-1035.3333333333335
-34.0,"(-48, -16]",642.090909090909
-34.0,"(-48, -16]",-4327.359286436233
-34.0,"(-48, -16]",-1318.7402502650748
-34.0,"(-48, -16]",-2321.21380286784
-34.0,"(-48, -16]",1020.5
-33.0,"(-48, -16]",-9510.012307692308
-33.0,"(-48, -16]",-1357.1315789473686
-33.0,"(-48, -16]",13998.308571428572
-33.0,"(-48, -16]",-3579.482180045277
-33.0,"(-48, -16]",-505.1052631578948
-33.0,"(-48, -16]",-1675.2315789473682
-33.0,"(-48, -16]",-370.23352676900026
-33.0,"(-48, -16]",1282.3653846153848
-33.0,"(-48, -16]",-2965.2292307692296
-33.0,"(-48, -16]",-855.7142857142853
-33.0,"(-48, -16]",55.35426410182481
-33.0,"(-48, -16]",-79.9250000000002
-32.0,"(-48, -16]",7191.727272727273
-32.0,"(-48, -16]",2217.3892307692317
-32.0,"(-48, -16]",-3016.666666666667
-32.0,"(-48, -16]",-564.0
-31.0,"(-48, -16]",1421.875
-31.0,"(-48, -16]",1783.8535664218455
-31.0,"(-48, -16]",-3114.336923076923
-31.0,"(-48, -16]",-515.0555555555558
-31.0,"(-48, -16]",1889.75
-31.0,"(-48, -16]",-6141.075
-31.0,"(-48, -16]",2357.5263157894738
-30.0,"(-48, -16]",876.038461538461
-30.0,"(-48, -16]",-407.8487378200007
-30.0,"(-48, -16]",210.66666666666674
-30.0,"(-48, -16]",721.7982456140352
-30.0,"(-48, -16]",-337.22916666666697
-30.0,"(-48, -16]",-158.87488047424176
-30.0,"(-48, -16]",1667.2661538461546
