diff_t1k_minc,diff_t1k_minc_bin,ws_diff,ws_diff_bin,steps_diff
32649.140625,"[6954, inf)",-76.0,"(-80, -48]",-4278.583333333334
32649.140625,"[6954, inf)",-76.0,"(-80, -48]",-4253.510888809885
-21844.0234375,"[-inf, -6250)",-75.0,"(-80, -48]",3924.2052631578963
-14883.8203125,"[-inf, -6250)",-75.0,"(-80, -48]",-3048.838167984002
1802.0390625,"[-6250, 6954)",-74.0,"(-80, -48]",-1097.0248065562537
-17831.51953125,"[-inf, -6250)",-73.0,"(-80, -48]",-1952.961538461538
-16701.28515625,"[-inf, -6250)",-71.0,"(-80, -48]",-3950.6547619047615
-9798.55078125,"[-inf, -6250)",-71.0,"(-80, -48]",82.95238095238119
23981.9296875,"[6954, inf)",-71.0,"(-80, -48]",-2810.633333333333
-8494.53125,"[-inf, -6250)",-69.0,"(-80, -48]",-1756.0930026327208
7929.9375,"[6954, inf)",-69.0,"(-80, -48]",-987.590909090909
-15885.546875,"[-inf, -6250)",-68.0,"(-80, -48]",-644.984210526316
-15885.546875,"[-inf, -6250)",-68.0,"(-80, -48]",1505.685954850329
-7057.64453125,"[-inf, -6250)",-68.0,"(-80, -48]",-2008.2514285714287
-2942.0625,"[-6250, 6954)",-68.0,"(-80, -48]",1291.7421277012782
-21015.9921875,"[-inf, -6250)",-67.0,"(-80, -48]",1804.2857142857144
-6721.89453125,"[-inf, -6250)",-67.0,"(-80, -48]",-362.2666666666673
-15422.703125,"[-inf, -6250)",-66.0,"(-80, -48]",-3686.362352941176
7037.328125,"[6954, inf)",-66.0,"(-80, -48]",-3761.263157894737
16295.33203125,"[6954, inf)",-66.0,"(-80, -48]",505.463768115942
-28787.07421875,"[-inf, -6250)",-65.0,"(-80, -48]",-1766.2638323500007
-3353.9609375,"[-6250, 6954)",-65.0,"(-80, -48]",966.9902199695903
11717.46875,"[6954, inf)",-65.0,"(-80, -48]",3889.1284346158727
-22994.8828125,"[-inf, -6250)",-64.0,"(-80, -48]",-2447.751010006834
-9798.55078125,"[-inf, -6250)",-64.0,"(-80, -48]",806.3142857142857
14089.703125,"[6954, inf)",-64.0,"(-80, -48]",-809.3920273902887
-10823.0078125,"[-inf, -6250)",-63.0,"(-80, -48]",-595.25
19146.5546875,"[6954, inf)",-63.0,"(-80, -48]",220.1599390066976
22087.99609375,"[6954, inf)",-63.0,"(-80, -48]",-1860.2583333333328
25794.3125,"[6954, inf)",-63.0,"(-80, -48]",-4415.695833333333
-27604.6015625,"[-inf, -6250)",-62.0,"(-80, -48]",96.82234432234509
-6721.89453125,"[-inf, -6250)",-62.0,"(-80, -48]",-4448.380116959063
-6721.89453125,"[-inf, -6250)",-62.0,"(-80, -48]",-3913.0988142292495
-6721.89453125,"[-inf, -6250)",-62.0,"(-80, -48]",-2369.149572649573
2319.2734375,"[-6250, 6954)",-62.0,"(-80, -48]",2919.603076923077
-15598.84375,"[-inf, -6250)",-61.0,"(-80, -48]",3076.5599999999995
-13266.55078125,"[-inf, -6250)",-61.0,"(-80, -48]",-7122.253968253968
-6756.3046875,"[-inf, -6250)",-61.0,"(-80, -48]",5361.8
7929.44921875,"[6954, inf)",-61.0,"(-80, -48]",-4466.233116238012
17643.5234375,"[6954, inf)",-61.0,"(-80, -48]",-3318.32
20602.81640625,"[6954, inf)",-61.0,"(-80, -48]",-2012.5
-19733.84765625,"[-inf, -6250)",-60.0,"(-80, -48]",-8296.915555555555
-18144.859375,"[-inf, -6250)",-60.0,"(-80, -48]",-2389.558270072082
-12820.40234375,"[-inf, -6250)",-60.0,"(-80, -48]",4619.444444444444
1540.16015625,"[-6250, 6954)",-60.0,"(-80, -48]",1043.4985122768255
1540.16015625,"[-6250, 6954)",-60.0,"(-80, -48]",6131.348014840334
5542.56640625,"[-6250, 6954)",-60.0,"(-80, -48]",-1650.9666666666662
9742.296875,"[6954, inf)",-60.0,"(-80, -48]",333.85714285714266
9742.296875,"[6954, inf)",-60.0,"(-80, -48]",-2990.277777777777
3667.87890625,"[-6250, 6954)",-59.0,"(-80, -48]",-300.27999999999975
-18208.3359375,"[-inf, -6250)",-58.0,"(-80, -48]",548.6858974358976
-12155.296875,"[-inf, -6250)",-58.0,"(-80, -48]",398.49275362318804
-8586.3046875,"[-inf, -6250)",-58.0,"(-80, -48]",-733.4871794871797
8150.55078125,"[6954, inf)",-58.0,"(-80, -48]",1624.2862603063427
,,-58.0,"(-80, -48]",-1026.5714285714284
-40355.53515625,"[-inf, -6250)",-57.0,"(-80, -48]",-7030.3516666666665
-25948.38671875,"[-inf, -6250)",-57.0,"(-80, -48]",-10952.605263157895
-22730.29296875,"[-inf, -6250)",-57.0,"(-80, -48]",-5203.025
-14586.9140625,"[-inf, -6250)",-57.0,"(-80, -48]",880.625
-14252.6875,"[-inf, -6250)",-57.0,"(-80, -48]",-935.5
-14047.90234375,"[-inf, -6250)",-57.0,"(-80, -48]",7467.0
-11807.1640625,"[-inf, -6250)",-57.0,"(-80, -48]",-6134.94085975023
-9341.13671875,"[-inf, -6250)",-57.0,"(-80, -48]",1091.3983333333326
-4322.484375,"[-6250, 6954)",-57.0,"(-80, -48]",-3423.866666666667
4653.0234375,"[-6250, 6954)",-57.0,"(-80, -48]",-153.42701702892558
5542.56640625,"[-6250, 6954)",-57.0,"(-80, -48]",-970.5555555555555
19110.7265625,"[6954, inf)",-57.0,"(-80, -48]",-174.78119757561763
31637.0078125,"[6954, inf)",-57.0,"(-80, -48]",-2304.2485104999123
31872.40234375,"[6954, inf)",-57.0,"(-80, -48]",2000.6
-30891.1875,"[-inf, -6250)",-56.0,"(-80, -48]",-3292.165413533835
6625.4296875,"[-6250, 6954)",-56.0,"(-80, -48]",-3136.4346877362173
9716.3515625,"[6954, inf)",-56.0,"(-80, -48]",-5520.264347826086
17336.03515625,"[6954, inf)",-56.0,"(-80, -48]",-752.1965500981108
19373.76171875,"[6954, inf)",-56.0,"(-80, -48]",3610.166666666667
21757.62109375,"[6954, inf)",-56.0,"(-80, -48]",-332.07067135130865
44282.7578125,"[6954, inf)",-56.0,"(-80, -48]",-4458.465838509317
-3467.625,"[-6250, 6954)",-55.0,"(-80, -48]",184.391304347826
25064.79296875,"[6954, inf)",-55.0,"(-80, -48]",332.5789473684208
40445.4609375,"[6954, inf)",-55.0,"(-80, -48]",3272.95
-27874.59765625,"[-inf, -6250)",-54.0,"(-80, -48]",-2238.850000000001
-18817.6484375,"[-inf, -6250)",-54.0,"(-80, -48]",-5864.229460015908
-14883.8203125,"[-inf, -6250)",-54.0,"(-80, -48]",-3318.4103021604865
-13786.53125,"[-inf, -6250)",-54.0,"(-80, -48]",-1558.7675577793002
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",4699.777777777777
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",-1005.9027777777783
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",1225.9545454545455
-3987.15625,"[-6250, 6954)",-54.0,"(-80, -48]",1159.5874125874125
1163.97265625,"[-6250, 6954)",-54.0,"(-80, -48]",-56.960000000000036
1231.27734375,"[-6250, 6954)",-54.0,"(-80, -48]",-159.82244835870893
6855.1171875,"[-6250, 6954)",-54.0,"(-80, -48]",-1047.293333333333
16381.5703125,"[6954, inf)",-54.0,"(-80, -48]",1506.7980769230774
-15143.2734375,"[-inf, -6250)",-53.0,"(-80, -48]",-3270.6816666666664
-14177.14453125,"[-inf, -6250)",-53.0,"(-80, -48]",-909.2892307692308
-6246.23046875,"[-6250, 6954)",-53.0,"(-80, -48]",-2142.42
-4374.2890625,"[-6250, 6954)",-53.0,"(-80, -48]",-4416.783858455284
9667.67578125,"[6954, inf)",-53.0,"(-80, -48]",-1871.166666666666
