bottom_ci,info,mean,move_relative_day_bin,top_ci
280.24531221724646,"* to New York, NY from below",5775.010731259734,"[-35, -25)",279.9068334164531
286.93656517973704,"* to New York, NY from below",5815.681747218345,"[-25, -15)",308.33821931320745
279.29268745547324,"* to New York, NY from below",5579.722736689895,"[-15, -5)",301.00065061954956
,"* to New York, NY from below",,"[-5, 5)",
290.5030766328937,"* to New York, NY from below",6991.394177802497,"[5, 15)",297.45891163206306
292.70265295199897,"* to New York, NY from below",6894.473116863786,"[15, 25)",305.37160976675113
310.9828243284919,"* to New York, NY from below",7396.279715934436,"[25, 35)",320.723603376603
364.4651303256069,"New York, NY to * from above",7074.744439415783,"[-35, -25)",375.3309199664918
379.9380614672764,"New York, NY to * from above",7452.32195591958,"[-25, -15)",418.0479179891299
375.58658955980627,"New York, NY to * from above",6998.9280808753365,"[-15, -5)",387.03116783351015
,"New York, NY to * from above",,"[-5, 5)",
289.0039445545335,"New York, NY to * from above",5500.384724472262,"[5, 15)",271.49623532015175
331.79670811606957,"New York, NY to * from above",5923.539168150153,"[15, 25)",344.65516083409966
360.0495819817979,"New York, NY to * from above",6039.005561538412,"[25, 35)",367.3235415869458
807.9921057859237,"* to San Jose, CA from above",6373.345161600936,"[-35, -25)",929.3898793835269
619.3326123169973,"* to San Jose, CA from above",6362.584363539361,"[-25, -15)",630.3114206022383
647.2657687506344,"* to San Jose, CA from above",5410.336428410813,"[-15, -5)",759.4409836593768
,"* to San Jose, CA from above",,"[-5, 5)",
500.6413778244346,"* to San Jose, CA from above",4214.801179819115,"[5, 15)",520.3854742497124
507.23500709034624,"* to San Jose, CA from above",4508.3265681996745,"[15, 25)",586.820712518891
665.2557648608026,"* to San Jose, CA from above",5224.090001147119,"[25, 35)",653.0993131034484
546.718224196562,"San Jose, CA to * from below",5215.5057224448565,"[-35, -25)",644.5795265934221
515.997420444286,"San Jose, CA to * from below",4984.896222347869,"[-25, -15)",555.7188325876341
566.2505126907545,"San Jose, CA to * from below",5083.5185267637,"[-15, -5)",620.4930105655922
,"San Jose, CA to * from below",,"[-5, 5)",
827.917350576954,"San Jose, CA to * from below",6715.278570520665,"[5, 15)",906.2159677345408
829.1579048076974,"San Jose, CA to * from below",6183.255651911837,"[15, 25)",961.9431194043464
747.8553318753138,"San Jose, CA to * from below",6284.060268256302,"[25, 35)",708.4193072345288
792.0525008042232,"* to Albuquerque, NM from above",4933.9276070485375,"[-35, -25)",734.0477016220311
768.4497222417767,"* to Albuquerque, NM from above",5867.146337389724,"[-25, -15)",815.3787797232226
911.3273911569331,"* to Albuquerque, NM from above",6379.865605424,"[-15, -5)",1173.159807751138
,"* to Albuquerque, NM from above",,"[-5, 5)",
687.3517270081561,"* to Albuquerque, NM from above",3569.5903478643754,"[5, 15)",831.1249498725115
1310.7695861989878,"* to Albuquerque, NM from above",5465.308021989558,"[15, 25)",1600.7016304462795
557.6421482525743,"* to Albuquerque, NM from above",4340.915738364689,"[25, 35)",583.6651737418315
769.9118343201394,"Albuquerque, NM to * from below",4650.1995133959745,"[-35, -25)",881.1331614266292
874.6566329638022,"Albuquerque, NM to * from below",4789.364547734437,"[-25, -15)",1215.5892097043006
480.1599848650553,"Albuquerque, NM to * from below",4347.765251749995,"[-15, -5)",511.4991247079979
,"Albuquerque, NM to * from below",,"[-5, 5)",
1280.831752834264,"Albuquerque, NM to * from below",5761.110128705173,"[5, 15)",1081.7482009073692
939.2570629604015,"Albuquerque, NM to * from below",6331.148688006025,"[15, 25)",1051.1032174086295
759.2033274367323,"Albuquerque, NM to * from below",5103.387761074777,"[25, 35)",771.9992421202733
