to_loc,from_loc
"Spring, TX","New York, NY"
"Johnstown, PA","New York, NY"
"Fremont, CA","New York, NY"
"Castle Rock, CO","New York, NY"
"Los Angeles, CA","New York, NY"
"Portsmouth, NH","New York, NY"
"Houston, TX","New York, NY"
"Columbus, OH","New York, NY"
"San Diego, CA","New York, NY"
"Jupiter, FL","New York, NY"
"San Mateo, CA","New York, NY"
"Oakland, CA","New York, NY"
"Columbia, MD","New York, NY"
"Redwood City, CA","New York, NY"
"Hartford, CT","New York, NY"
"Minneapolis, MN","New York, NY"
"Portsmouth, OH","New York, NY"
"Holland, MI","New York, NY"
"Fremont, CA","New York, NY"
"Minneapolis, MN","New York, NY"
"Omaha, NE","New York, NY"
"Houston, TX","New York, NY"
"Cockeysville, MD","New York, NY"
"Houston, TX","New York, NY"
"Fort Wayne, IN","New York, NY"
"Santa Fe, NM","New York, NY"
"Ashburn, VA","New York, NY"
"Temecula, CA","New York, NY"
"Santa Barbara, CA","New York, NY"
"Poughkeepsie, NY","New York, NY"
"San Ramon, CA","New York, NY"
"San Mateo, CA","New York, NY"
"Austin, TX","New York, NY"
"Potomac, MD","New York, NY"
"Dallas, TX","New York, NY"
"Arlington, VA","New York, NY"
"Monterey, CA","New York, NY"
"Temecula, CA","New York, NY"
"Punta Gorda, FL","New York, NY"
"Menlo Park, CA","New York, NY"
"Carrollton, TX","New York, NY"
"Johnstown, PA","New York, NY"
"Boca Raton, FL","New York, NY"
"Los Angeles, CA","New York, NY"
"Bonita Springs, FL","New York, NY"
"Long Beach, CA","New York, NY"
"San Jose, CA","New York, NY"
"Baton Rouge, LA","New York, NY"
"Christiansburg, VA","New York, NY"
"Buffalo, NY","New York, NY"
"Alpharetta, GA","New York, NY"
"Denver, CO","New York, NY"
"Pasadena, CA","New York, NY"
"Mountain View, CA","New York, NY"
"Durham, NC","New York, NY"
"Lauderdale Lakes, FL","New York, NY"
"Concord, CA","New York, NY"
"Scottsdale, AZ","New York, NY"
"San Diego, CA","New York, NY"
"New Haven, CT","New York, NY"
"New Orleans, LA","New York, NY"
"Portsmouth, NH","New York, NY"
"Houston, TX","New York, NY"
"Middletown, CT","New York, NY"
"Los Angeles, CA","New York, NY"
"Charlotte, NC","New York, NY"
"Madison, WI","New York, NY"
"Houston, TX","New York, NY"
"San Jose, CA","New York, NY"
"Houston, TX","New York, NY"
"Los Angeles, CA","New York, NY"
"Honolulu, HI","New York, NY"
"Mountain View, CA","New York, NY"
"Spring, TX","New York, NY"
"Fort Lauderdale, FL","New York, NY"
"Deerfield Beach, FL","New York, NY"
"Virginia Beach, VA","New York, NY"
"Elmhurst, IL","New York, NY"
"Elmhurst, IL","New York, NY"
"Johnstown, PA","New York, NY"
"Los Angeles, CA","New York, NY"
"Bonita Springs, FL","New York, NY"
"Los Angeles, CA","New York, NY"
"Columbus, OH","New York, NY"
"Scottsdale, AZ","New York, NY"
"Houston, TX","New York, NY"
"Jupiter, FL","New York, NY"
"Castle Rock, CO","New York, NY"
"Spring, TX","New York, NY"
"San Diego, CA","New York, NY"
"San Ramon, CA","New York, NY"
"Portsmouth, NH","New York, NY"
"Boca Raton, FL","New York, NY"
"Middletown, CT","New York, NY"
"Fremont, CA","New York, NY"
"Buffalo, NY","New York, NY"
"Orlando, FL","New York, NY"
"Mountain View, CA","New York, NY"
"Denver, CO","New York, NY"
"Baton Rouge, LA","New York, NY"
"Pasadena, CA","New York, NY"
"San Jose, CA","New York, NY"
"Christiansburg, VA","New York, NY"
"Durham, NC","New York, NY"
"Virginia Beach, VA","New York, NY"
"Houston, TX","New York, NY"
"Lauderdale Lakes, FL","New York, NY"
"Allentown, PA","New York, NY"
"Poughkeepsie, NY","New York, NY"
"Santa Barbara, CA","New York, NY"
"San Jose, CA","New York, NY"
"South Pasadena, CA","New York, NY"
"Honolulu, HI","New York, NY"
"Ashburn, VA","New York, NY"
"Johnstown, PA","New York, NY"
"Long Beach, CA","New York, NY"
"Los Angeles, CA","New York, NY"
"Oakland, CA","New York, NY"
"Alpharetta, GA","New York, NY"
"San Mateo, CA","New York, NY"
"Fremont, CA","New York, NY"
"Potomac, MD","New York, NY"
"Portsmouth, OH","New York, NY"
"Madison, WI","New York, NY"
"Minneapolis, MN","New York, NY"
"Temecula, CA","New York, NY"
"Portsmouth, NH","New York, NY"
"Mountain View, CA","New York, NY"
"Santa Fe, NM","New York, NY"
"Fort Wayne, IN","New York, NY"
"Houston, TX","New York, NY"
"San Mateo, CA","New York, NY"
"Dallas, TX","New York, NY"
"Houston, TX","New York, NY"
"Los Angeles, CA","New York, NY"
"Arlington, VA","New York, NY"
"Cockeysville, MD","New York, NY"
"Los Angeles, CA","New York, NY"
"Houston, TX","New York, NY"
"New Orleans, LA","New York, NY"
"Austin, TX","New York, NY"
"Los Angeles, CA","New York, NY"
"Spring, TX","New York, NY"
"Redwood City, CA","New York, NY"
"Menlo Park, CA","New York, NY"
"Columbia, MD","New York, NY"
"Concord, CA","New York, NY"
"Hartford, CT","New York, NY"
"Punta Gorda, FL","New York, NY"
"Deerfield Beach, FL","New York, NY"
"Anaheim, CA","New York, NY"
"Monterey, CA","New York, NY"
"Minneapolis, MN","New York, NY"
"Charlotte, NC","New York, NY"
"Holland, MI","New York, NY"
"Houston, TX","New York, NY"
"Christiansburg, VA","New York, NY"
"Manchester, NH","New York, NY"
"Spring, TX","New York, NY"
"Los Angeles, CA","New York, NY"
"Baton Rouge, LA","New York, NY"
"Houston, TX","New York, NY"
"Buffalo, NY","New York, NY"
"Dallas, TX","New York, NY"
"San Mateo, CA","New York, NY"
"Arlington, VA","New York, NY"
"Carrollton, TX","New York, NY"
"New Orleans, LA","New York, NY"
"Johnstown, PA","New York, NY"
"Menlo Park, CA","New York, NY"
"Monterey, CA","New York, NY"
"Boca Raton, FL","New York, NY"
"Punta Gorda, FL","New York, NY"
"Portsmouth, NH","New York, NY"
"Allentown, PA","New York, NY"
"San Jose, CA","New York, NY"
"San Diego, CA","New York, NY"
"Los Angeles, CA","New York, NY"
"Temecula, CA","New York, NY"
"Long Beach, CA","New York, NY"
"New Haven, CT","New York, NY"
"Austin, TX","New York, NY"
