location,lat,lon
"'Ain Ben Beida, Algeria",36.83,7.82
"'Ain Ghattab, Morocco",33.93,-4.98
"'Ain Marmora, Algeria",36.76,3.02
"'Ata Abad, Iran",36.91,54.4
"'Eilabun, Israel",32.9,35.47
"'Mla, Myanmar",25.37,97.4
"'Ndatang, Myanmar",24.17,96.33
"'asineh, Iran",26.53,53.98
"'esar, Iran",25.65,57.78
"'ur-e Khuni, Iran",30.25,56.97
"...l Bil, Bangladesh",25.76,88.91
"100 Mile House, British Columbia",51.73,-121.36
"70 Mile House, British Columbia",51.13,-121.2
"798 Art Zone, China",39.9699999999,116.460000001
"A Gez, Mexico",28.7,-105.96
"A Kung Tin, Hong Kong",22.45,114.14
"A Kung Wan, Hong Kong",22.31,114.26
"A Ma Wat, Hong Kong",22.47,114.21
"A Magne, Lao Peoples Republic",16.4,107.68
"A Rang, Lao Peoples Republic",15.68,106.43
"A Re, Viet Nam",16.4,107.68
"A da Velha, Portugal",41.9,-8.09
"A' urnouk, Morocco",35.18,-3.84
"A'Zaz, Syria",36.72,37.12
"A'errejiadadou, China",27.9,102.27
"A'ersilang, China",42.42,122.53
"A'ineh Deh, Iran",36.25,50.0
"A'la Jirgah Kelay, Afghanistan",30.27,66.92
"A'opo, Samoa",-13.82,-172.0
"A-hu-chai, Myanmar",23.55,99.4
"A-wu, Myanmar",19.93,99.05
"A. Olaes, Philippines",14.35,121.02
"A. S. Rao Nagar, India",17.24,78.43
"AElmhult, Sweden",56.56,14.13
"AElvkarleby, Sweden",60.56,17.44
"AElvsbyn, Sweden",65.85,21.53
"AEn, Norway",60.3,5.22
"AEnes, Norway",59.99,6.02
"AEngabo, Sweden",57.92,12.54
"AEnggarden, Sweden",57.69,11.96
"A`eyl Kola-ye Bozorg, Iran",36.63,53.2
"A`la Dowlat, Iran",29.53,52.58
"A`la Kuh, Iran",28.97,53.68
"A`la, Iran",30.77,49.67
"A`rab Chegeni, Iran",28.97,53.68
"A`sabah, Iraq",30.91,41.14
"A`zab, Iran",31.33,48.67
"A`zam Kala, Afghanistan",31.5,65.85
"A`zamabad, Iran",30.25,56.97
"Aaby, Denmark",56.15,10.17
"Aailiyine, Morocco",35.58,-5.33
"Aalburg, Netherlands",51.75,5.13
"Aallaakh, Russia",60.9,131.98
"Aalpaka, Bangladesh",25.22,88.78
"Aangenaam, South Africa",-33.51,22.36
"Aararukan, Indonesia",-2.55,120.37
"Aarau, Switzerland",47.39,8.04
"Aarberg, Switzerland",47.18,7.42
"Aaron, Malawi",-10.97,33.73
"Aaronsburg, PA",40.9,-77.46
"Aarous, Morocco",34.22,-4.0
"Aars, Denmark",56.73,9.39
"Aarsal, Lebanon",34.24,36.0
"Aas, Denmark",55.31,12.07
"Aas, Norway",58.49,7.92
"Aasel, Morocco",34.99,-3.03
"Aasfontein, South Africa",-34.81,19.95
"Aast, France",43.25,-0.04
"Aatola, Finland",61.99,27.22
"Aavasaksa, Finland",66.39,24.51
"Ab Anbar, Iran",27.24,60.72
"Ab Anjir, Iran",29.158,57.903999999999996
"Ab Ask, Iran",35.68,51.35
"Ab Bakhshan, Iran",36.63,53.2
