delta_WS,delta_WS_bin,delta_mins,n_moves
-76.0,"(-80, -48]",-181.13794871794877,2
-75.0,"(-80, -48]",-3.4467070081621074,2
-74.0,"(-80, -48]",-134.4866220735787,1
-73.0,"(-80, -48]",-42.23871794871795,2
-71.0,"(-80, -48]",-89.4194444444445,3
-69.0,"(-80, -48]",-110.30939393939396,2
-68.0,"(-80, -48]",-1.6735804159721495,4
-67.0,"(-80, -48]",26.283333333333303,2
-66.0,"(-80, -48]",-70.1283413848631,3
-65.0,"(-80, -48]",43.1117149758454,4
-64.0,"(-80, -48]",-45.64843304843297,3
-63.0,"(-80, -48]",-62.43954823161206,4
-62.0,"(-80, -48]",-50.37297748141098,5
-61.0,"(-80, -48]",-81.89962121212112,6
-60.0,"(-80, -48]",-29.81040458937193,8
-59.0,"(-80, -48]",-23.905,1
-58.0,"(-80, -48]",-24.367549857549864,6
-57.0,"(-80, -48]",-69.02529246543529,15
-56.0,"(-80, -48]",-77.25341296384772,7
-55.0,"(-80, -48]",7.25317823544367,3
-54.0,"(-80, -48]",-22.911663914788875,12
-53.0,"(-80, -48]",-106.28698091382294,7
-52.0,"(-80, -48]",-44.89315590487515,16
-51.0,"(-80, -48]",-15.165268203041887,11
-50.0,"(-80, -48]",-24.667763657212497,13
-49.0,"(-80, -48]",-97.15380946312884,17
-48.0,"(-80, -48]",-46.54690251151365,22
-47.0,"(-48, -16]",-16.83687805658394,17
-46.0,"(-48, -16]",-47.066853904134774,27
-45.0,"(-48, -16]",-30.333400115860076,21
-44.0,"(-48, -16]",-22.877534360620686,29
-43.0,"(-48, -16]",3.124093718596016,21
-42.0,"(-48, -16]",-61.92130339504542,36
-41.0,"(-48, -16]",-21.894237661799185,36
-40.0,"(-48, -16]",-12.239571862848697,28
-39.0,"(-48, -16]",9.167451613394423,29
-38.0,"(-48, -16]",-48.543513501295394,29
-37.0,"(-48, -16]",-1.3029650832148594,31
-36.0,"(-48, -16]",-48.167299423208405,32
-35.0,"(-48, -16]",-13.131528983428026,29
-34.0,"(-48, -16]",-11.78140274200751,31
-33.0,"(-48, -16]",-16.269053463155146,38
-32.0,"(-48, -16]",23.875647289450644,37
-31.0,"(-48, -16]",-48.273749569724515,45
-30.0,"(-48, -16]",-31.01722823909827,38
-29.0,"(-48, -16]",-35.083375189036765,58
