steps_per_min_bin,difference
"[15, 20)",-2.581810551400649
"[20, 25)",-1.230098870274206
"[25, 30)",-1.8826540167180545
"[30, 35)",-1.3664293165236117
"[35, 40)",-0.35841478348186784
"[40, 45)",-0.26124778688446226
"[45, 50)",-0.08093516047066507
"[50, 55)",0.10326888577228865
"[55, 60)",0.687721243724471
"[60, 65)",0.9012977304000181
"[65, 70)",1.0194769949489304
"[70, 75)",1.3542718770150253
"[75, 80)",1.4617710555336147
"[80, 85)",1.5800916681652561
"[85, 90)",1.7263751332667467
"[90, 95)",2.009210701257121
"[95, 100)",2.7194934846774377
"[100, 105)",3.3778269882193
"[105, 110)",4.473943363585359
"[110, 115)",5.921207391380891
"[115, 120)",5.10227566770418
"[120, 125)",3.3441419485073283
"[125, 130)",2.3488816574989553
"[130, 135)",0.6985905614506712
"[135, 140)",0.34428310723936295
"[140, 145)",0.22932805471670728
"[145, 150)",0.1282559192740377
"[150, 155)",0.11314459210814949
"[155, 160)",0.04202585177672463
"[160, 165)",0.10812723231099525
"[165, 170)",0.1955671116990419
"[170, 175)",0.024298894627917966
"[175, 180)",0.3202437526842209
"[180, 185)",0.10773658031306044
"[185, 190)",0.04991793001440526
"[190, 195)",0.021333351604763934
