delta_ws,bs_iter,bs_iter,bs_iter,new_frac_pop_MVPAs,new_frac_pop_MVPAs,new_frac_pop_MVPAs
,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5
0,499.5,24.975,974.025,0.18184537046950572,0.1618810247241665,0.20148535365334735
5,499.5,24.975,974.025,0.19435679984170973,0.17456180784337075,0.2139700187236658
10,499.5,24.975,974.025,0.2068638644798312,0.18642185115666615,0.2270096376415068
15,499.5,24.975,974.025,0.21872335943149002,0.19687105611249725,0.23982749491776675
20,499.5,24.975,974.025,0.2303233956625189,0.2063265002723504,0.25319765728065385
25,499.5,24.975,974.025,0.24151227243092713,0.21561673858079466,0.2663392159851041
30,499.5,24.975,974.025,0.2523935453270527,0.22444255351280581,0.2791534026286659
35,499.5,24.975,974.025,0.26287492608155294,0.23314112016644664,0.29229239413165714
40,499.5,24.975,974.025,0.27266781418614056,0.24043509357749612,0.3042350553718199
45,499.5,24.975,974.025,0.281995842175859,0.24786178527697109,0.315564807348474
50,499.5,24.975,974.025,0.2908179308610281,0.2547194546445943,0.324913679828797
55,499.5,24.975,974.025,0.2987537228727456,0.26143582057219816,0.33357583769131655
60,499.5,24.975,974.025,0.3055399672240063,0.2668289129482712,0.3413250759713942
65,499.5,24.975,974.025,0.3105420229595402,0.2709675460848142,0.3472103388789871
70,499.5,24.975,974.025,0.3137600290885065,0.27363678659188806,0.3508585178327769
75,499.5,24.975,974.025,0.3156958879607725,0.27524252403014804,0.3531750185011252
80,499.5,24.975,974.025,0.316740959329154,0.27610937969091165,0.35442698028392994
85,499.5,24.975,974.025,0.3171875600821891,0.276479821751217,0.3549619935776509
90,499.5,24.975,974.025,0.31732625785370994,0.27659486743327877,0.3551281490332098
95,499.5,24.975,974.025,0.31735109819874546,0.27661547176171125,0.3551579069651533
100,499.5,24.975,974.025,0.31735179174739564,0.27661604703971726,0.3551587378140599
105,499.5,24.975,974.025,0.31735179174739564,0.27661604703971726,0.3551587378140599
