target_ws,avg_delta_daily_steps,avg_delta_daily_steps,avg_delta_daily_steps,avg_delta_frac_pop_MVPAs,avg_delta_frac_pop_MVPAs,avg_delta_frac_pop_MVPAs,avg_delta_minutes_MVPAs,avg_delta_minutes_MVPAs,avg_delta_minutes_MVPAs,avg_post_move_frac_pop_MVPAs,avg_post_move_frac_pop_MVPAs,avg_post_move_frac_pop_MVPAs,bs_iter,bs_iter,bs_iter
,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5
0,-65.27618669204064,-130.08436858387938,1.5861473557694825,0.004805353884679121,-0.02016641852438778,0.028817028762694215,0.05324785745337075,-2.3732143790052613,2.7738886762369512,0.18141692398459203,0.16144682329407936,0.2006192279783486,499.5,24.975,974.025
10,-64.78031868070812,-128.29306780309585,8.175868303416191,0.005569680090080794,-0.019601932152019795,0.03043966747512159,0.13091136984612894,-2.546422409986902,2.7982689673069143,0.181988885852741,0.1618591629455985,0.20187323869202622,499.5,24.975,974.025
20,-58.44240809222063,-131.14483415163394,11.023887697514713,0.006552420642795244,-0.019648794008061354,0.03251142986078361,0.3146112879330452,-2.3464580403356616,2.8601198870276687,0.18250728358387336,0.1615884193952786,0.20323619157605416,499.5,24.975,974.025
30,-38.68657164780713,-107.0835746509229,28.634402761578148,0.011068933642253923,-0.014311744310772362,0.03492032386835174,1.3588683120422127,-1.3031376611005188,3.8726194901953788,0.18545606555169986,0.16515150817320937,0.20449669582097094,499.5,24.975,974.025
40,15.893892861051954,-58.02555652144371,84.8488377328668,0.022286643479775745,-0.002881899475392535,0.04710454970566459,3.919254603570065,1.3664269628744268,6.751822400261484,0.19345814759813196,0.17362590175521067,0.21353326089416436,499.5,24.975,974.025
50,110.91596495234754,34.503672100396486,181.34774699886907,0.04191289581519592,0.014265631756359448,0.0676706889286363,8.08470984986262,5.041799405842187,11.041017919450741,0.20840491494110308,0.18675771960804446,0.22876681394874007,499.5,24.975,974.025
60,221.53740838060585,132.46240056134044,306.72775856688025,0.06451252291506515,0.034993672308134105,0.09133800639004802,13.33764152352717,10.062449433476333,16.803770424363798,0.22586499834409204,0.20300330602331335,0.2468731914028736,499.5,24.975,974.025
70,350.19641334309057,249.79578008412074,458.3275374199441,0.09178059811912961,0.05895357408701905,0.1224712443478819,19.201420190770648,15.004551405449327,23.330641926761604,0.24703968185837813,0.22149302459937048,0.2709802046807711,499.5,24.975,974.025
80,485.14147665232525,357.62687289623534,607.381855310262,0.1191789410827728,0.08241312104874238,0.15579324176966045,25.24285021345702,20.806417038628688,30.177690819662146,0.2685283495287141,0.24025860692898282,0.2968687759913029,499.5,24.975,974.025
90,629.3438909102166,488.7327069420168,779.9460345045512,0.14899074094163006,0.10396637667751685,0.19492064483316593,32.023645217363544,26.076384758197204,37.72444269369022,0.2920887022172535,0.25732187689649294,0.3272893384927353,499.5,24.975,974.025
100,775.8920793229261,604.467793218802,964.0896570922548,0.18040274261168388,0.12477817354468279,0.23172815768945798,38.63371891990808,31.55897323703685,45.74601137356694,0.3171878664175793,0.2741640401799344,0.35735893101830235,499.5,24.975,974.025
