ws_diff,ws_diff_bin,steps_diff
-76.0,"(-80, -48]",-4253.510888809885
-76.0,"(-80, -48]",-4278.583333333334
-75.0,"(-80, -48]",-3048.838167984002
-75.0,"(-80, -48]",3924.2052631578963
-74.0,"(-80, -48]",-1097.0248065562537
-73.0,"(-80, -48]",-1952.961538461538
-71.0,"(-80, -48]",-3950.6547619047615
-71.0,"(-80, -48]",82.95238095238119
-71.0,"(-80, -48]",-2810.633333333333
-69.0,"(-80, -48]",-987.590909090909
-69.0,"(-80, -48]",-1756.0930026327208
-68.0,"(-80, -48]",-2008.2514285714287
-68.0,"(-80, -48]",-644.984210526316
-68.0,"(-80, -48]",1505.685954850329
-68.0,"(-80, -48]",1291.7421277012782
-67.0,"(-80, -48]",-362.2666666666673
-67.0,"(-80, -48]",1804.2857142857144
-66.0,"(-80, -48]",505.463768115942
-66.0,"(-80, -48]",-3761.263157894737
-66.0,"(-80, -48]",-6279.444444444444
-66.0,"(-80, -48]",-3686.362352941176
-65.0,"(-80, -48]",966.9902199695903
-65.0,"(-80, -48]",-1766.2638323500007
-65.0,"(-80, -48]",2363.75
-65.0,"(-80, -48]",3889.1284346158727
-64.0,"(-80, -48]",-809.3920273902887
-64.0,"(-80, -48]",806.3142857142857
-64.0,"(-80, -48]",-2447.751010006834
-63.0,"(-80, -48]",-1860.2583333333328
-63.0,"(-80, -48]",-595.25
-63.0,"(-80, -48]",-4415.695833333333
-63.0,"(-80, -48]",220.1599390066976
-62.0,"(-80, -48]",2919.603076923077
-62.0,"(-80, -48]",-2369.149572649573
-62.0,"(-80, -48]",-4448.380116959063
-62.0,"(-80, -48]",96.82234432234509
-62.0,"(-80, -48]",-3913.0988142292495
-61.0,"(-80, -48]",5361.8
-61.0,"(-80, -48]",-3318.32
-61.0,"(-80, -48]",-7122.253968253968
-61.0,"(-80, -48]",3076.5599999999995
-61.0,"(-80, -48]",-2012.5
-61.0,"(-80, -48]",-4466.233116238012
-60.0,"(-80, -48]",-2990.277777777777
-60.0,"(-80, -48]",-2389.558270072082
-60.0,"(-80, -48]",4619.444444444444
-60.0,"(-80, -48]",-8296.915555555555
-60.0,"(-80, -48]",1043.4985122768255
-60.0,"(-80, -48]",6131.348014840334
-60.0,"(-80, -48]",333.85714285714266
-60.0,"(-80, -48]",-1650.9666666666662
-59.0,"(-80, -48]",-300.27999999999975
-58.0,"(-80, -48]",1624.2862603063427
-58.0,"(-80, -48]",-424.21139573662816
-58.0,"(-80, -48]",548.6858974358976
-58.0,"(-80, -48]",398.49275362318804
-58.0,"(-80, -48]",-733.4871794871797
-58.0,"(-80, -48]",-1026.5714285714284
-57.0,"(-80, -48]",-3423.866666666667
-57.0,"(-80, -48]",-7030.3516666666665
-57.0,"(-80, -48]",-174.78119757561763
-57.0,"(-80, -48]",7467.0
-57.0,"(-80, -48]",-2304.2485104999123
-57.0,"(-80, -48]",1091.3983333333326
-57.0,"(-80, -48]",880.625
-57.0,"(-80, -48]",-6134.94085975023
-57.0,"(-80, -48]",-10952.605263157895
-57.0,"(-80, -48]",-185.19578947368427
-57.0,"(-80, -48]",2000.6
-57.0,"(-80, -48]",-970.5555555555555
-57.0,"(-80, -48]",-5203.025
-57.0,"(-80, -48]",-153.42701702892558
-57.0,"(-80, -48]",-935.5
