ws_diff,ws_diff_bin,steps_diff,n_moves
-76.0,"(-80, -48]",-4266.04711107161,2
-75.0,"(-80, -48]",437.68354758694704,2
-74.0,"(-80, -48]",-1097.0248065562537,1
-73.0,"(-80, -48]",-1952.961538461538,1
-71.0,"(-80, -48]",-2226.1119047619045,3
-69.0,"(-80, -48]",-1371.8419558618148,2
-68.0,"(-80, -48]",36.04811086346558,4
-67.0,"(-80, -48]",721.0095238095236,2
-66.0,"(-80, -48]",-3305.401546791104,4
-65.0,"(-80, -48]",1363.4012055588655,4
-64.0,"(-80, -48]",-816.9429172276123,3
-63.0,"(-80, -48]",-1662.7610569149922,4
-62.0,"(-80, -48]",-1542.8406165184929,5
-61.0,"(-80, -48]",-1413.4911807486635,6
-60.0,"(-80, -48]",-399.9462694566667,8
-59.0,"(-80, -48]",-300.27999999999975,1
-58.0,"(-80, -48]",64.53248459503197,6
-57.0,"(-80, -48]",-1735.2582795361216,15
-56.0,"(-80, -48]",-1983.061548912601,7
-55.0,"(-80, -48]",1263.3067505720821,3
-54.0,"(-80, -48]",-554.8431722235586,12
-53.0,"(-80, -48]",-2313.059530952728,7
-52.0,"(-80, -48]",-786.3847719838751,17
-51.0,"(-80, -48]",-521.7409894509617,11
-50.0,"(-80, -48]",-1119.4190943608214,13
-49.0,"(-80, -48]",-2370.6412876831396,17
-48.0,"(-80, -48]",-1607.1675788594396,22
-47.0,"(-48, -16]",-286.12589980092787,17
-46.0,"(-48, -16]",-1061.5350261188278,27
-45.0,"(-48, -16]",-299.34714758139427,21
-44.0,"(-48, -16]",-87.71081175126092,30
-43.0,"(-48, -16]",-21.043024423291193,21
-42.0,"(-48, -16]",-1147.9193108868785,37
-41.0,"(-48, -16]",-424.60095595991163,36
-40.0,"(-48, -16]",-389.9403267702713,30
-39.0,"(-48, -16]",-283.69055969296653,29
-38.0,"(-48, -16]",-829.6978398345296,29
-37.0,"(-48, -16]",47.28688405258186,31
-36.0,"(-48, -16]",-926.5465844059453,32
-35.0,"(-48, -16]",-37.710405707506396,30
-34.0,"(-48, -16]",-130.87238626608385,31
-33.0,"(-48, -16]",-626.5340637959987,40
-32.0,"(-48, -16]",453.17380977007184,39
-31.0,"(-48, -16]",-1267.2569520321538,44
-30.0,"(-48, -16]",-496.86649016889277,39
-29.0,"(-48, -16]",-1270.5630577369884,60
-28.0,"(-48, -16]",-213.43319603247363,57
-27.0,"(-48, -16]",195.85240086874322,44
-26.0,"(-48, -16]",-312.491897077463,70
-25.0,"(-48, -16]",-252.00586548295385,74
-24.0,"(-48, -16]",-631.7133446866006,55
-23.0,"(-48, -16]",390.5486553119629,88
-22.0,"(-48, -16]",-5.975258184391462,74
-21.0,"(-48, -16]",-513.2004282682976,62
-20.0,"(-48, -16]",-388.4930866019016,82
-19.0,"(-48, -16]",-742.7587174178343,85
-18.0,"(-48, -16]",-945.5987766894381,79
-17.0,"(-48, -16]",82.6173494958789,83
-16.0,"(-48, -16]",84.12789649442372,112
-15.0,"(-16, 16]",-382.9489521745325,105
-14.0,"(-16, 16]",205.1309401721574,111
-13.0,"(-16, 16]",181.15664884249458,104
-12.0,"(-16, 16]",43.38528606877373,115
-11.0,"(-16, 16]",-287.3330073460399,102
-10.0,"(-16, 16]",-445.71049582236856,119
-9.0,"(-16, 16]",-9.226533979586556,132
-8.0,"(-16, 16]",-380.17966823238277,136
-7.0,"(-16, 16]",91.76271454946554,123
-6.0,"(-16, 16]",-692.4304462613062,127
-5.0,"(-16, 16]",324.52671916147034,124
-4.0,"(-16, 16]",109.94785815096994,145
-3.0,"(-16, 16]",-215.92217878951504,170
-2.0,"(-16, 16]",-60.98169638791846,138
-1.0,"(-16, 16]",-363.14272643304605,117
0.0,"(-16, 16]",-209.12228953855399,142
1.0,"(-16, 16]",-115.16175242135834,122
2.0,"(-16, 16]",324.44857639308213,144
3.0,"(-16, 16]",272.47991386177625,157
4.0,"(-16, 16]",443.0078033359641,128
5.0,"(-16, 16]",-128.19533908759172,124
6.0,"(-16, 16]",42.76315478257315,127
7.0,"(-16, 16]",-75.13793067191217,127
8.0,"(-16, 16]",-36.34658591200947,119
9.0,"(-16, 16]",342.5350855228585,146
10.0,"(-16, 16]",383.1261909336024,128
11.0,"(-16, 16]",-287.04942545097686,99
12.0,"(-16, 16]",293.21110571723483,113
13.0,"(-16, 16]",177.60309502994852,121
14.0,"(-16, 16]",224.52464233179177,108
15.0,"(-16, 16]",225.2736320423087,91
16.0,"(-16, 16]",879.861697101274,90
17.0,"(16, 48]",-1.128371737142549,88
18.0,"(16, 48]",560.8038688841468,86
19.0,"(16, 48]",-34.87921888248133,90
20.0,"(16, 48]",299.9706575642171,81
21.0,"(16, 48]",-91.89399989849657,72
22.0,"(16, 48]",454.57423722586714,65
23.0,"(16, 48]",-10.458008911167507,83
24.0,"(16, 48]",822.6998276515072,52
25.0,"(16, 48]",551.2542223592071,73
26.0,"(16, 48]",394.33470346591974,67
27.0,"(16, 48]",353.873986280849,49
28.0,"(16, 48]",44.81257632684161,63
29.0,"(16, 48]",-17.246917873866668,55
30.0,"(16, 48]",818.3929049482417,47
31.0,"(16, 48]",950.262669769818,39
32.0,"(16, 48]",1319.832614488842,52
33.0,"(16, 48]",228.2603053739413,51
34.0,"(16, 48]",866.6637656616039,29
35.0,"(16, 48]",1677.0318488299552,24
36.0,"(16, 48]",365.393199401287,47
37.0,"(16, 48]",438.1426492269751,40
38.0,"(16, 48]",633.7335478709874,34
39.0,"(16, 48]",1026.8687871053794,23
40.0,"(16, 48]",883.2269731888506,36
41.0,"(16, 48]",1073.7965456202323,32
42.0,"(16, 48]",240.8317023268011,27
43.0,"(16, 48]",254.32154398689582,23
44.0,"(16, 48]",954.4794701647163,30
45.0,"(16, 48]",1272.2156472253835,21
46.0,"(16, 48]",423.0854217025775,18
47.0,"(16, 48]",675.5434136061483,21
48.0,"(16, 48]",1295.64029793345,25
49.0,"(48, 80]",1333.94710955022,25
50.0,"(48, 80]",1783.6051788718094,19
51.0,"(48, 80]",3004.596609210656,9
52.0,"(48, 80]",395.19271872370194,13
53.0,"(48, 80]",2383.8122403057064,10
54.0,"(48, 80]",629.2539221195856,17
55.0,"(48, 80]",1149.5800643860005,11
56.0,"(48, 80]",1871.8944617987238,13
57.0,"(48, 80]",-829.3107709170623,6
58.0,"(48, 80]",358.01350844690097,5
59.0,"(48, 80]",2876.6223485707683,6
60.0,"(48, 80]",735.1851788562313,6
61.0,"(48, 80]",2960.4917397159525,5
62.0,"(48, 80]",3537.022243966294,3
63.0,"(48, 80]",-1443.3162905102101,6
64.0,"(48, 80]",-1755.3615725037025,4
65.0,"(48, 80]",180.71642343471865,2
66.0,"(48, 80]",1914.4839683342973,4
68.0,"(48, 80]",-270.55787545787575,2
69.0,"(48, 80]",660.7162526605539,4
70.0,"(48, 80]",-1598.2749978801046,3
71.0,"(48, 80]",2425.990594112356,1
75.0,"(48, 80]",-2838.444202275075,3
76.0,"(48, 80]",1875.7153833712514,2
77.0,"(48, 80]",4384.54347826087,1
