steps_diff,ws_diff,ws_diff_bin
3924.2052631578963,-75.0,"(-80, -48]"
-1952.961538461538,-73.0,"(-80, -48]"
-3950.6547619047615,-71.0,"(-80, -48]"
-2810.633333333333,-71.0,"(-80, -48]"
-2008.2514285714287,-68.0,"(-80, -48]"
-644.984210526316,-68.0,"(-80, -48]"
1505.685954850329,-68.0,"(-80, -48]"
1804.2857142857144,-67.0,"(-80, -48]"
505.463768115942,-66.0,"(-80, -48]"
-809.3920273902887,-64.0,"(-80, -48]"
-2447.751010006834,-64.0,"(-80, -48]"
-1860.2583333333328,-63.0,"(-80, -48]"
-595.25,-63.0,"(-80, -48]"
3076.5599999999995,-61.0,"(-80, -48]"
-2012.5,-61.0,"(-80, -48]"
1624.2862603063427,-58.0,"(-80, -48]"
-2304.2485104999123,-57.0,"(-80, -48]"
2000.6,-57.0,"(-80, -48]"
-5203.025,-57.0,"(-80, -48]"
-4458.465838509317,-56.0,"(-80, -48]"
184.391304347826,-55.0,"(-80, -48]"
-5864.229460015908,-54.0,"(-80, -48]"
1506.7980769230774,-54.0,"(-80, -48]"
-2657.432436968391,-53.0,"(-80, -48]"
-4209.179487179486,-52.0,"(-80, -48]"
2965.758333333333,-52.0,"(-80, -48]"
-1152.0929487179485,-51.0,"(-80, -48]"
164.09935897435938,-51.0,"(-80, -48]"
-3169.888888888889,-51.0,"(-80, -48]"
58.24223602484382,-50.0,"(-80, -48]"
-2158.833333333334,-50.0,"(-80, -48]"
-1689.995555555555,-50.0,"(-80, -48]"
-50.451923076923784,-50.0,"(-80, -48]"
354.54515050167174,-50.0,"(-80, -48]"
-2588.190476190476,-49.0,"(-80, -48]"
-4797.9196427575325,-49.0,"(-80, -48]"
-18.391304347826008,-49.0,"(-80, -48]"
-47.060386473429396,-49.0,"(-80, -48]"
-6856.28,-49.0,"(-80, -48]"
-11211.615384615383,-48.0,"(-80, -48]"
-1462.897233201581,-48.0,"(-80, -48]"
-5833.179842987121,-48.0,"(-80, -48]"
528.0333333333328,-48.0,"(-80, -48]"
-862.1111111111113,-48.0,"(-80, -48]"
-1875.3266666666668,-48.0,"(-80, -48]"
-1288.59,-48.0,"(-80, -48]"
-2665.428571428572,-47.0,"(-48, -16]"
813.2348879981923,-47.0,"(-48, -16]"
95.81502302121409,-46.0,"(-48, -16]"
-4840.357142857143,-46.0,"(-48, -16]"
1778.1428571428567,-44.0,"(-48, -16]"
1486.208333333333,-44.0,"(-48, -16]"
1118.7222222222224,-44.0,"(-48, -16]"
-1705.1374999999996,-44.0,"(-48, -16]"
-3770.482517482518,-44.0,"(-48, -16]"
-176.5034965034965,-44.0,"(-48, -16]"
-1552.9333333333334,-44.0,"(-48, -16]"
-1099.4035087719303,-43.0,"(-48, -16]"
984.3273809523816,-43.0,"(-48, -16]"
-3147.0489510489515,-43.0,"(-48, -16]"
4266.466403162056,-43.0,"(-48, -16]"
-3830.308537945713,-43.0,"(-48, -16]"
-4351.359999999999,-42.0,"(-48, -16]"
-2682.666666666667,-42.0,"(-48, -16]"
-4081.590909090909,-42.0,"(-48, -16]"
-47.480000000000466,-42.0,"(-48, -16]"
3898.313725490196,-42.0,"(-48, -16]"
4892.076923076924,-42.0,"(-48, -16]"
992.413333333333,-42.0,"(-48, -16]"
-450.4727272727273,-42.0,"(-48, -16]"
-532.3861538461538,-42.0,"(-48, -16]"
-112.60000000000036,-42.0,"(-48, -16]"
-2214.461538461538,-42.0,"(-48, -16]"
5395.772727272727,-42.0,"(-48, -16]"
-434.72727272727246,-41.0,"(-48, -16]"
1117.1071765507434,-41.0,"(-48, -16]"
-3711.993657565601,-41.0,"(-48, -16]"
2013.9023391735,-41.0,"(-48, -16]"
-1421.0261427734345,-41.0,"(-48, -16]"
-2939.315293182175,-41.0,"(-48, -16]"
-246.55681818181802,-41.0,"(-48, -16]"
-958.7666666666668,-41.0,"(-48, -16]"
-159.95192307692287,-41.0,"(-48, -16]"
3388.9192397196807,-41.0,"(-48, -16]"
-3425.2628205128212,-41.0,"(-48, -16]"
39.74561403508778,-41.0,"(-48, -16]"
-686.9047619047619,-40.0,"(-48, -16]"
-593.5826086956522,-40.0,"(-48, -16]"
855.375,-40.0,"(-48, -16]"
2370.6133333333332,-39.0,"(-48, -16]"
1454.4261352055667,-39.0,"(-48, -16]"
4698.869230769231,-39.0,"(-48, -16]"
-370.73913043478206,-38.0,"(-48, -16]"
-4691.6,-38.0,"(-48, -16]"
-8167.015151515153,-38.0,"(-48, -16]"
792.704710144928,-38.0,"(-48, -16]"
-3190.7762418816474,-37.0,"(-48, -16]"
-265.27472527472537,-37.0,"(-48, -16]"
1154.0512820512822,-37.0,"(-48, -16]"
-6776.0666666666675,-37.0,"(-48, -16]"
-3230.727495425516,-37.0,"(-48, -16]"
