steps_diff,ws_diff,ws_diff_bin,Move Season
-4253.510888809885,-76.0,"(-80, -48]",Fall
-4278.583333333334,-76.0,"(-80, -48]",Fall
-3048.838167984002,-75.0,"(-80, -48]",Spring
3924.2052631578963,-75.0,"(-80, -48]",Fall
-1097.0248065562537,-74.0,"(-80, -48]",Spring
-1952.961538461538,-73.0,"(-80, -48]",Winter
-3950.6547619047615,-71.0,"(-80, -48]",Winter
82.95238095238119,-71.0,"(-80, -48]",Fall
-2810.633333333333,-71.0,"(-80, -48]",Fall
-987.590909090909,-69.0,"(-80, -48]",Fall
-1756.0930026327208,-69.0,"(-80, -48]",Summer
-2008.2514285714287,-68.0,"(-80, -48]",Fall
-644.984210526316,-68.0,"(-80, -48]",Fall
1505.685954850329,-68.0,"(-80, -48]",Winter
1291.7421277012782,-68.0,"(-80, -48]",Winter
-362.2666666666673,-67.0,"(-80, -48]",Fall
1804.2857142857144,-67.0,"(-80, -48]",Fall
505.463768115942,-66.0,"(-80, -48]",Winter
-3761.263157894737,-66.0,"(-80, -48]",Fall
-6279.444444444444,-66.0,"(-80, -48]",Summer
-3686.362352941176,-66.0,"(-80, -48]",Fall
966.9902199695903,-65.0,"(-80, -48]",Winter
-1766.2638323500007,-65.0,"(-80, -48]",Summer
2363.75,-65.0,"(-80, -48]",Spring
3889.1284346158727,-65.0,"(-80, -48]",Summer
-809.3920273902887,-64.0,"(-80, -48]",Fall
806.3142857142857,-64.0,"(-80, -48]",Winter
-2447.751010006834,-64.0,"(-80, -48]",Fall
-1860.2583333333328,-63.0,"(-80, -48]",Spring
-595.25,-63.0,"(-80, -48]",Fall
-4415.695833333333,-63.0,"(-80, -48]",Summer
220.1599390066976,-63.0,"(-80, -48]",Spring
2919.603076923077,-62.0,"(-80, -48]",Summer
-2369.149572649573,-62.0,"(-80, -48]",Spring
-4448.380116959063,-62.0,"(-80, -48]",Fall
96.82234432234509,-62.0,"(-80, -48]",Fall
-3913.0988142292495,-62.0,"(-80, -48]",Winter
5361.8,-61.0,"(-80, -48]",Summer
-3318.32,-61.0,"(-80, -48]",Winter
-7122.253968253968,-61.0,"(-80, -48]",Spring
3076.5599999999995,-61.0,"(-80, -48]",Spring
-2012.5,-61.0,"(-80, -48]",Spring
-4466.233116238012,-61.0,"(-80, -48]",Fall
-2990.277777777777,-60.0,"(-80, -48]",Fall
-2389.558270072082,-60.0,"(-80, -48]",Winter
4619.444444444444,-60.0,"(-80, -48]",Spring
-8296.915555555555,-60.0,"(-80, -48]",Winter
1043.4985122768255,-60.0,"(-80, -48]",Fall
6131.348014840334,-60.0,"(-80, -48]",Fall
333.85714285714266,-60.0,"(-80, -48]",Winter
-1650.9666666666662,-60.0,"(-80, -48]",Spring
-300.27999999999975,-59.0,"(-80, -48]",Fall
1624.2862603063427,-58.0,"(-80, -48]",Winter
-424.21139573662816,-58.0,"(-80, -48]",Fall
548.6858974358976,-58.0,"(-80, -48]",Summer
398.49275362318804,-58.0,"(-80, -48]",Fall
-733.4871794871797,-58.0,"(-80, -48]",Winter
-1026.5714285714284,-58.0,"(-80, -48]",Fall
-3423.866666666667,-57.0,"(-80, -48]",Fall
-7030.3516666666665,-57.0,"(-80, -48]",Fall
-174.78119757561763,-57.0,"(-80, -48]",Spring
7467.0,-57.0,"(-80, -48]",Spring
-2304.2485104999123,-57.0,"(-80, -48]",Fall
1091.3983333333326,-57.0,"(-80, -48]",Spring
