to_loc,from_loc
"New York, NY","York, PA"
"New York, NY","Baton Rouge, LA"
"New York, NY","Rochester, NY"
"New York, NY","Albuquerque, NM"
"New York, NY","Virginia Beach, VA"
"New York, NY","Sammamish, WA"
"New York, NY","Easton, PA"
"New York, NY","Castle Rock, CO"
"New York, NY","Wilmette, IL"
"New York, NY","Berwyn, IL"
"New York, NY","Raleigh, NC"
"New York, NY","Temecula, CA"
"New York, NY","Whittier, CA"
"New York, NY","Punta Gorda, FL"
"New York, NY","Castle Rock, CO"
"New York, NY","Fort Lauderdale, FL"
"New York, NY","Ellicott City, MD"
"New York, NY","San Mateo, CA"
"New York, NY","Middleton, WI"
"New York, NY","Glen Ellyn, IL"
"New York, NY","Alexandria, VA"
"New York, NY","Pasadena, CA"
"New York, NY","Houston, TX"
"New York, NY","Fort Worth, TX"
"New York, NY","Las Vegas, NV"
"New York, NY","Kerrville, TX"
"New York, NY","Tucson, AZ"
"New York, NY","Baltimore, MD"
"New York, NY","Wilmette, IL"
"New York, NY","Casselberry, FL"
"New York, NY","Charlotte, NC"
"New York, NY","Manchester, NH"
"New York, NY","Palo Alto, CA"
"New York, NY","Revere, MA"
"New York, NY","Palm Harbor, FL"
"New York, NY","Issaquah, WA"
"New York, NY","Raleigh, NC"
"New York, NY","Ogden, UT"
"New York, NY","Myrtle Beach, SC"
"New York, NY","Poughkeepsie, NY"
"New York, NY","Lake Worth, FL"
"New York, NY","Salt Lake City, UT"
"New York, NY","Newport, RI"
"New York, NY","Tucson, AZ"
"New York, NY","Dania Beach, FL"
"New York, NY","Urbana, IL"
"New York, NY","San Diego, CA"
"New York, NY","Staunton, VA"
"New York, NY","Baltimore, MD"
"New York, NY","South Pasadena, CA"
"New York, NY","Roswell, GA"
"New York, NY","Allentown, PA"
"New York, NY","Orlando, FL"
"New York, NY","Coral Gables, FL"
"New York, NY","Miami Beach, FL"
"New York, NY","Smyrna, GA"
"New York, NY","Houston, TX"
"New York, NY","Las Vegas, NV"
"New York, NY","Palo Alto, CA"
"New York, NY","Johnstown, PA"
"New York, NY","Poughkeepsie, NY"
"New York, NY","Dania Beach, FL"
"New York, NY","Lauderdale Lakes, FL"
"New York, NY","Denver, CO"
"New York, NY","Seattle, WA"
"New York, NY","Portland, ME"
"New York, NY","Palo Alto, CA"
"New York, NY","Fitchburg, WI"
"New York, NY","Maplewood, MN"
"New York, NY","Manhattan Beach, CA"
"New York, NY","McLean, VA"
"New York, NY","Orlando, FL"
"New York, NY","Rochester, MN"
"New York, NY","New Haven, CT"
"New York, NY","Tucson, AZ"
"New York, NY","Milpitas, CA"
"New York, NY","Melbourne, FL"
"New York, NY","Ogden, UT"
"New York, NY","Northfield, MN"
"New York, NY","Fairfax, VA"
"New York, NY","Los Angeles, CA"
"New York, NY","Los Angeles, CA"
"New York, NY","Baltimore, MD"
"New York, NY","Baltimore, MD"
"New York, NY","Tucson, AZ"
"New York, NY","Punta Gorda, FL"
"New York, NY","Issaquah, WA"
"New York, NY","Allentown, PA"
"New York, NY","Lansing, MI"
"New York, NY","Baton Rouge, LA"
"New York, NY","Dania Beach, FL"
"New York, NY","Whittier, CA"
"New York, NY","Orlando, FL"
"New York, NY","Newport, RI"
"New York, NY","New Haven, CT"
"New York, NY","Northfield, MN"
"New York, NY","Poughkeepsie, NY"
"New York, NY","Los Angeles, CA"
"New York, NY","Dania Beach, FL"
"New York, NY","Palo Alto, CA"
"New York, NY","Pasadena, CA"
"New York, NY","Miami Beach, FL"
"New York, NY","Lake Worth, FL"
"New York, NY","Charlotte, NC"
"New York, NY","Albuquerque, NM"
"New York, NY","Rochester, NY"
"New York, NY","Raleigh, NC"
"New York, NY","Portland, ME"
"New York, NY","Las Vegas, NV"
"New York, NY","Virginia Beach, VA"
"New York, NY","Wilmette, IL"
"New York, NY","Ellicott City, MD"
"New York, NY","Baltimore, MD"
"New York, NY","Manchester, NH"
"New York, NY","Austin, TX"
"New York, NY","Athens, OH"
"New York, NY","San Mateo, CA"
"New York, NY","The Woodlands, TX"
"New York, NY","Los Angeles, CA"
"New York, NY","Melbourne, FL"
"New York, NY","Pasadena, CA"
"New York, NY","Fitchburg, WI"
"New York, NY","Urbana, IL"
"New York, NY","Ogden, UT"
"New York, NY","Atlantic City, NJ"
"New York, NY","Roswell, GA"
"New York, NY","Las Vegas, NV"
"New York, NY","Castle Rock, CO"
"New York, NY","Palo Alto, CA"
"New York, NY","Temecula, CA"
"New York, NY","Coral Gables, FL"
"New York, NY","Casselberry, FL"
"New York, NY","Middleton, WI"
"New York, NY","Smyrna, GA"
"New York, NY","Fort Worth, TX"
"New York, NY","Hialeah, FL"
"New York, NY","Pompano Beach, FL"
"New York, NY","Las Vegas, NV"
"New York, NY","York, PA"
"New York, NY","Johnstown, PA"
"New York, NY","Orlando, FL"
"New York, NY","Fairfax, VA"
"New York, NY","Denver, CO"
