user_id,from_loc,to_loc
1924567648.0,"Portland, OR","San Jose, CA"
1007346608.0,"Bountiful, UT","Palo Alto, CA"
2404258801.0,"Fort Lauderdale, FL","San Diego, CA"
1489600010.0,"Doral, FL","Denton, TX"
1116627235.0,"Springville, UT","Torrance, CA"
1274167504.0,"Windsor, CO","Tucson, AZ"
1077503808.0,"Spokane, WA","Portland, OR"
1349873108.0,"New Smyrna Beach, FL","Raleigh, NC"
3013317550.0,"Phoenix, AZ","Lompoc, CA"
1029713124.0,"Bradenton, FL","Springfield, MO"
3070678045.0,"Providence, RI","Ann Arbor, MI"
1581168053.0,"Clermont, FL","Naples, FL"
738358355.0,"Joplin, MO","Austin, TX"
740370423.0,"Cleveland, OH","Reno, NV"
1656979743.0,"Costa Mesa, CA","Oakland, CA"
3487273666.0,"Bethesda, MD","Providence, RI"
2118139736.0,"Ocala, FL","Dayton, OH"
1193657147.0,"Buffalo, NY","Erie, PA"
3678798101.0,"Chantilly, VA","San Jose, CA"
3291767160.0,"Asheville, NC","Henderson, NV"
1324437697.0,"Temecula, CA","Omaha, NE"
740691049.0,"Kansas City, MO","Chicago, IL"
3403258687.0,"Lakeland, FL","Arlington, VA"
1143098105.0,"Pittsburgh, PA","Salt Lake City, UT"
1689867578.0,"Los Altos, CA","Rocklin, CA"
2054048605.0,"Sarasota, FL","Jupiter, FL"
1215679202.0,"Tampa, FL","Benbrook, TX"
3171480863.0,"Kenner, LA","Brandon, FL"
1841431216.0,"Wilmington, NC","Columbia, MD"
712494234.0,"Los Angeles, CA","Houston, TX"
1074012933.0,"York, PA","New York, NY"
1039887397.0,"Portland, OR","Ontario, CA"
3054507390.0,"Elk Grove, CA","Santa Monica, CA"
3241683016.0,"Pittsburgh, PA","Anchorage, AK"
3545595029.0,"Tuscaloosa, AL","Jacksonville, FL"
1414749836.0,"Corvallis, OR","Temecula, CA"
2162767779.0,"Mankato, MN","Minneapolis, MN"
1330614295.0,"San Francisco, CA","Denver, CO"
649014730.0,"Tallahassee, FL","Jacksonville, FL"
1405753860.0,"Memphis, TN","Chattanooga, TN"
1857848577.0,"Bryan, TX","Grandview, MO"
1691357012.0,"Kent, OH","Cincinnati, OH"
2154491993.0,"Jacksonville, FL","West Melbourne, FL"
2040787291.0,"Grand Junction, CO","Fullerton, CA"
3577697415.0,"Diamond Bar, CA","Thousand Oaks, CA"
1523201257.0,"San Francisco, CA","Elk Grove Village, IL"
1008156804.0,"San Francisco, CA","Houston, TX"
3698248473.0,"Wichita, KS","Olathe, KS"
3121182245.0,"Marietta, GA","Santa Rosa, CA"
1149157095.0,"Chandler, AZ","West Des Moines, IA"
1660029776.0,"Elizabeth, NJ","Shelton, CT"
1868328174.0,"Cedar Rapids, IA","Council Bluffs, IA"
1915497709.0,"New Orleans, LA","Brentwood, TN"
1426590463.0,"Waco, TX","Fort Worth, TX"
1322491408.0,"Austin, TX","Stafford, TX"
1219807055.0,"Clermont, FL","Macon, GA"
3432440573.0,"Cincinnati, OH","Victorville, CA"
720918553.0,"Chicago, IL","Anchorage, AK"
1886073835.0,"New York, NY","Spring, TX"
3401731942.0,"Boston, MA","West Haven, CT"
1861024065.0,"Columbus, OH","Memphis, TN"
723761294.0,"Daytona Beach, FL","Pompano Beach, FL"
3659207712.0,"Tallahassee, FL","Gainesville, FL"
2117400760.0,"Seattle, WA","Vancouver, WA"
2466470948.0,"Cleveland, OH","Santa Clara, CA"
2627759672.0,"Raleigh, NC","Concord, NC"
3090267038.0,"Philadelphia, PA","Boca Raton, FL"
669929721.0,"Chicago, IL","Kansas City, MO"
1161028314.0,"Sandy, UT","Corona, CA"
642917214.0,"Gainesville, FL","Boca Raton, FL"
3722638013.0,"Burbank, CA","Gilbert, AZ"
3314571820.0,"Orlando, FL","Fort Collins, CO"
3353769913.0,"Flagstaff, AZ","Scottsdale, AZ"
1123598040.0,"Charleston, SC","Greenville, SC"
2040277144.0,"Gainesville, FL","Palm Harbor, FL"
1330951546.0,"Pittsburgh, PA","Chicago, IL"
3230909574.0,"Eugene, OR","Redmond, OR"
3589988595.0,"Iowa City, IA","Council Bluffs, IA"
2799351436.0,"Bloomington, IN","Hinsdale, IL"
3690843148.0,"Austin, TX","Houston, TX"
689258433.0,"Lawrence, KS","Redondo Beach, CA"
771842082.0,"Omaha, NE","Maple Grove, MN"
2384331223.0,"Manhattan, KS","Bellevue, NE"
991314960.0,"Missoula, MT","Foster City, CA"
676566803.0,"Hillsboro, OR","Ogden, UT"
1139476810.0,"Richmond, VA","Springfield, VA"
3594250146.0,"Ithaca, NY","Philadelphia, PA"
3529088732.0,"Columbus, OH","Dayton, OH"
1884382792.0,"Charleston, SC","Columbia, SC"
1382998348.0,"Fairfax, VA","Columbus, OH"
2010948779.0,"Blue Springs, MO","Austin, TX"
1333109300.0,"Charlottesville, VA","Vestavia Hills, AL"
2491248032.0,"Lawrenceville, GA","Los Angeles, CA"
3174380832.0,"Oakland, CA","Temecula, CA"
3533420519.0,"New Haven, CT","Thousand Oaks, CA"
1273467573.0,"Durango, CO","Oceanside, CA"
735947437.0,"New Haven, CT","Milpitas, CA"
639470606.0,"Carbondale, IL","North Augusta, SC"
90482770.0,"Waco, TX","Shreveport, LA"
3645410705.0,"New Haven, CT","Dania Beach, FL"
1050666478.0,"Ithaca, NY","Boston, MA"
2303669063.0,"New Orleans, LA","Redondo Beach, CA"
1962989210.0,"Knoxville, TN","Hendersonville, TN"
733931413.0,"Reno, NV","Little Rock, AR"
1341420825.0,"Newark, NJ","San Francisco, CA"
3671248451.0,"Waco, TX","Austin, TX"
3444587090.0,"La Crosse, WI","Apple Valley, MN"
740525481.0,"Columbus, OH","Cleveland, OH"
179293451.0,"Houston, TX","San Antonio, TX"
1864200976.0,"Columbia, SC","Honolulu, HI"
1803117875.0,"Baltimore, MD","Wellesley, MA"
1489840004.0,"Irvine, CA","Palo Alto, CA"
2988360256.0,"Urbana, IL","Mundelein, IL"
2311587912.0,"Chicago, IL","Jacksonville, FL"
643724504.0,"Atlanta, GA","Los Angeles, CA"
3314597159.0,"San Diego, CA","Windsor, CA"
2288668251.0,"College Station, TX","Temple, TX"
707858754.0,"Germantown, TN","San Antonio, TX"
651613138.0,"Carlisle, PA","Denver, CO"
1919130428.0,"San Diego, CA","Auburn, WA"
1565835440.0,"Boston, MA","El Paso, TX"
3191711102.0,"Eagan, MN","Austin, MN"
1884143743.0,"Tempe, AZ","Spokane Valley, WA"
3275780388.0,"Big Spring, TX","Plano, TX"
1271355577.0,"Waco, TX","Tyler, TX"
1086137531.0,"Santa Clara, CA","Culver City, CA"
1911279149.0,"Eugene, OR","Portland, OR"
742757582.0,"Bloomington, IN","Fort Myers, FL"
1155013730.0,"Jacksonville, FL","Tampa, FL"
3826767461.0,"Blacksburg, VA","Chantilly, VA"
3263677492.0,"Columbus, OH","Cleveland, OH"
1331011747.0,"Ithaca, NY","Toms River, NJ"
2562878695.0,"College Station, TX","Houston, TX"
722954296.0,"New York, NY","Honolulu, HI"
3149525605.0,"Austin, TX","Richmond, VA"
1061968844.0,"Macomb, IL","Highland Park, IL"
1456896627.0,"Stevens Point, WI","Menomonee Falls, WI"
720651609.0,"Irvine, CA","Walnut Creek, CA"
2592507850.0,"Santa Barbara, CA","Costa Mesa, CA"
1035417268.0,"Pullman, WA","Issaquah, WA"
2997058413.0,"Reno, NV","Cupertino, CA"
954127624.0,"Chicago, IL","La Quinta, CA"
731669260.0,"Charlotte, NC","Cary, NC"
1752516766.0,"Ann Arbor, MI","West Hartford, CT"
786737865.0,"Waco, TX","Carrollton, TX"
646489176.0,"Ann Arbor, MI","Glen Burnie, MD"
1055439353.0,"Austin, TX","Houston, TX"
1036058012.0,"Columbus, OH","Youngstown, OH"
1860457144.0,"Kansas City, MO","Wildwood, MO"
3536549978.0,"Denton, TX","Pflugerville, TX"
2358780143.0,"Milledgeville, GA","Roswell, GA"
2956547186.0,"San Francisco, CA","Long Beach, CA"
1151288369.0,"Portland, OR","Atascadero, CA"
